Date,AAPL,BNP.PA,MSFT,NVO
2020-01-02,72.46826934814453,37.87433624267578,152.5056610107422,26.21444320678711
2020-01-03,71.76372528076172,37.42193603515625,150.60675048828125,25.652957916259766
2020-01-06,72.33555603027344,37.2381477355957,150.9960174560547,25.6080379486084
2020-01-07,71.99536895751953,37.22401428222656,149.61923217773438,25.58108901977539
2020-01-08,73.15348815917969,37.308837890625,152.00244140625,25.53616714477539
2020-01-09,74.70732879638672,37.04022979736328,153.9014129638672,25.801189422607422
2020-01-10,74.87623596191406,36.87057113647461,153.1893310546875,26.358179092407227
2020-01-13,76.47590637207031,36.70798873901367,155.0312957763672,26.488447189331055
2020-01-14,75.44322967529297,36.87764358520508,153.93942260742188,26.762447357177734
2020-01-15,75.11992645263672,36.02232360839844,154.9363555908203,28.024660110473633
2020-01-16,76.06092071533203,35.760780334472656,157.77532958984375,27.539535522460938
2020-01-17,76.9029769897461,35.873878479003906,158.65830993652344,27.539535522460938
2020-01-20,,35.69009780883789,,
2020-01-21,76.3818130493164,35.49217224121094,158.08865356445312,27.46317481994629
2020-01-22,76.65446472167969,35.40027618408203,157.32904052734375,27.544025421142578
2020-01-23,77.02361297607422,35.311920166015625,158.2975311279297,27.665307998657227
2020-01-24,76.80164337158203,35.28010559082031,156.702392578125,27.43622589111328
2020-01-27,74.54326629638672,34.54495620727539,154.08180236816406,26.933134078979492
2020-01-28,76.65205383300781,34.93373489379883,157.1011962890625,27.099336624145508
2020-01-29,78.25653839111328,34.99382400512695,159.5508575439453,27.252058029174805
2020-01-30,78.14315795898438,34.5590934753418,164.05142211914062,27.34189224243164
2020-01-31,74.67838287353516,33.96178436279297,161.6302032470703,27.323930740356445
2020-02-03,74.47331237792969,34.170310974121094,165.57058715820312,27.382322311401367
2020-02-04,76.93192291259766,34.84185028076172,171.0205841064453,27.665307998657227
2020-02-05,77.55928039550781,35.06804656982422,170.81166076660156,28.932008743286133
2020-02-06,78.46646118164062,35.633544921875,174.35324096679688,29.048797607421875
2020-02-07,77.39990997314453,36.63731002807617,174.60012817382812,28.41095733642578
2020-02-10,77.7674789428711,36.50299835205078,179.16712951660156,28.586135864257812
2020-02-11,77.2983169555664,37.27349090576172,175.12232971191406,28.33908462524414
2020-02-12,79.13397216796875,37.87433624267578,175.37872314453125,28.451383590698242
2020-02-13,78.57046508789062,37.867271423339844,174.42922973632812,28.181873321533203
2020-02-14,78.58979797363281,37.94502639770508,175.9863739013672,28.500795364379883
2020-02-17,,38.2984619140625,,
2020-02-18,77.15078735351562,37.93795394897461,177.77134704589844,28.788267135620117
2020-02-19,78.26813507080078,37.994503021240234,178.3045654296875,28.810731887817383
2020-02-20,77.46520233154297,37.64813232421875,175.5815887451172,28.527740478515625
2020-02-21,75.71177673339844,37.61986541748047,170.031005859375,28.68046760559082
2020-02-24,72.11542510986328,36.19198226928711,162.70004272460938,27.526060104370117
2020-02-25,69.6727294921875,34.4247932434082,160.01519775390625,27.229598999023438
2020-02-26,70.77796936035156,34.08195495605469,162.0145721435547,27.445207595825195
2020-02-27,66.15137481689453,32.08149719238281,150.59921264648438,26.722021102905273
2020-02-28,66.11267852783203,30.95050048828125,154.24563598632812,26.111125946044922
2020-03-02,72.2677993774414,30.717233657836914,164.5089569091797,27.454193115234375
2020-03-03,69.9726333618164,30.26129913330078,156.62579345703125,27.6248779296875
2020-03-04,73.21829986572266,29.86545181274414,162.37632751464844,29.098207473754883
2020-03-05,70.84329223632812,28.639020919799805,158.3014678955078,28.276199340820312
2020-03-06,69.90248107910156,27.225269317626953,153.8267364501953,28.096525192260742
2020-03-09,64.37374114990234,23.881755828857422,143.4014892578125,26.704051971435547
2020-03-10,69.01004791259766,24.47906494140625,153.20791625976562,27.418256759643555
2020-03-11,66.61329650878906,25.2071475982666,146.26719665527344,26.003324508666992
2020-03-12,60.0349235534668,21.91311264038086,132.3955078125,23.995468139648438
2020-03-13,67.22761535644531,22.429128646850586,151.21804809570312,25.47777557373047
2020-03-16,58.57897186279297,19.396635055541992,128.92994689941406,23.62264060974121
2020-03-17,61.154693603515625,20.64073944091797,139.54559326171875,24.79051971435547
2020-03-18,59.657630920410156,18.661489486694336,133.67124938964844,23.582216262817383
2020-03-19,59.200531005859375,19.21638298034668,135.87060546875,23.222869873046875
2020-03-20,55.442161560058594,19.396635055541992,130.76744079589844,22.216691970825195
2020-03-23,54.26432800292969,17.972286224365234,129.46311950683594,22.643421173095703
2020-03-24,59.70841979980469,19.63697624206543,141.2307891845703,22.701812744140625
2020-03-25,59.3795051574707,21.206235885620117,139.87881469726562,23.8157901763916
2020-03-26,62.504241943359375,21.89897346496582,148.6283721923828,25.49574089050293
2020-03-27,59.91641616821289,21.117877960205078,142.52560424804688,25.840559005737305
2020-03-30,61.626304626464844,19.96920394897461,152.5509490966797,27.41203498840332
